City,Latitude,Longitude
mallama,1.137396,-77.848901
santa barbara,2.450069,-77.979357
mosquera,2.50861,-78.451102
pacora,5.527084,-75.459301
foso,5.7,-1.2833333
taluya,5.811667,125.172778
tunggol,5.844583,121.154357
lapuan,6.144444,125.700833
lambontong,6.308333,124.810556
san joaquin,6.430037,-72.86768
igpit,6.700833,125.291944
cerrito,6.843147,-72.694041
landang,6.958333,122.254722
labuan,7.100748,121.90238
sibuco,7.291111,122.065556
ikire,7.35,4.183333
assela,7.95,39.133333
aurora,7.9506,123.5826
ayapel,8.313721,-75.139822
coloncito,8.5666667,-79.9
san jose,9.933333,-84.083333
chivacoa,10.1602778,-68.895
inayagan,10.23478,123.769
cabungahan,10.516667,123.983333
clemencia,10.566455,-75.324986
anaimalai,10.583333,76.933333
villanueva,10.605278,-72.98
pancol,10.8715,119.4157
fulacunda,11.7666667,-15.1666667
kano,11.994354,8.513807
zorgo,12.2488889,-0.6158333
marandahalli,12.4,78.0
san agustin,12.568889,122.131389
carmen,12.6171,122.1211
bigaa,13.1993,123.7566
sabang,13.7218,123.5781
suchitoto,13.9380556,-89.0277778
tera,14.0105556,0.7530556
mao,14.1194444,15.3133333
santa elena,14.170227,122.382464
bitangan,14.253889,120.878333
biltine,14.5333333,20.9166667
kaeng khoi,14.583333,101.016667
malanday,14.6463,121.095
san pedro sacatepequez,14.684167,-90.644167
surin,14.881806,103.493639
zacualpa,15.083333,-90.833333
el perico,15.0833333,-88.1
paitan,16.085316,120.031636
raichur,16.2,77.366667
ndioum,16.5166667,-14.65
letpadan,17.7833333,95.75
santa rosalia,18.066667,-93.383333
road town,18.4166667,-64.6166667
tecamachalco,18.883333,-97.733333
phayao,19.192028,99.878834
ulhasnagar,19.216667,73.15
ixtapaluca,19.316667,-98.883333
san bartolo,19.813611,-99.011667
zempoala,19.916667,-98.666667
tixpehual,20.983333,-89.516667
vertientes,21.2594444,-78.1463889
gandhinagar,23.216667,72.683333
zhangzhou,24.513333,117.655556
canatlan,24.516667,-104.783333
mount abu,24.6,72.7
haikou,24.779854,102.575483
bakhtiyarpur,25.466667,85.516667
kohima,25.666667,94.116667
sibsagar,26.983333,94.633333
phalodi,27.133333,72.366667
kanina,28.333333,76.316667
xunchang,28.454332,104.714984
adolfo lopez mateos,28.466667,-107.3
kalat,29.022515,66.591604
bahsuma,29.216667,77.966667
new orleans,29.9544444,-90.075
hanchuan,30.65,113.766667
kamalia,30.733333,72.65
jawala mukhi,31.883333,76.316667
richmond hill,31.9380556,-81.3036111
midland,31.9972222,-102.0775
falavarjan,32.555301,51.509735
nesher,32.765,35.05
kahuta,33.591303,73.38676
fountain valley,33.7091667,-117.9527778
west carson,33.8216667,-118.2916667
huaibei,33.974444,116.791667
toba,34.483333,136.85
canyon,34.9802778,-101.9183333
morro bay,35.3658333,-120.8488889
chino,35.983333,138.15
naka,36.05,140.166667
lebanon,36.2080556,-86.2911111
west plains,36.7280556,-91.8522222
timizart,36.8,4.2666667
norfolk,36.8466667,-76.2855556
suozhen,36.953889,118.104722
ferreiras,37.129265,-8.237592
ayia marina,37.15,26.8666667
milpitas,37.4283333,-121.9055556
hillsborough,37.5741667,-122.3783333
wichita,37.6922222,-97.3372222
siverek,37.755025,39.316667
salmas,38.1973,44.7653
frankfort,38.2008333,-84.8733333
malveira,38.93213,-9.257785
coruche,38.959546,-8.525235
fairland,39.0761111,-76.9580556
gladzor,39.7783333,45.3477778
pataskala,39.9955556,-82.6744444
exokhi,40.0975,20.7402778
noratus,40.3822222,45.1783333
steamboat springs,40.485,-106.8311111
xinon neron,40.6833333,21.6166667
aygut,40.6841667,45.1730556
yerazgavors,40.7,43.75
newark,40.7355556,-74.1727778
akhuryan,40.7813889,43.8963889
gravina in puglia,40.816667,16.416667
new city,41.1475,-73.9897222
elkhart,41.6819444,-85.9766667
viana do castelo,41.693234,-8.832869
kharagauli,42.0202778,43.2138889
kyzyl-suu,42.3408333,77.9980556
montefiascone,42.533333,12.033333
lowell,42.6333333,-71.3166667
somers,42.6402778,-87.9102778
ames,42.9,-8.633333
novyy sulak,43.212391,46.814258
troitskaya,43.306641,44.983949
jesi,43.516667,13.233333
piatra,43.816667,25.166667
kyzyl-oktyabr,43.825701,41.786047
sarajevo,43.85,18.3833333
giurgiu,43.883333,25.966667
onalaska,43.8844444,-91.235
yuzhno-kurilsk,44.030556,145.855556
besleney,44.2405,41.7387
cervia,44.261667,12.358889
alexandru odobescu,44.266667,27.083333
gaiseni,44.515,25.645278
colchester,44.5438889,-73.1483333
priboj,44.6027778,18.9313889
tetoiu,44.75,23.916667
maglajani,44.9486111,17.3494444
tulcea,45.166667,28.8
varbilau,45.183333,25.95
kovilj,45.227778,20.021667
veternik,45.253333,19.759444
portland,45.5236111,-122.675
gugesti,45.566667,27.133333
gavardo,45.583333,10.433333
novokorsunskaya,45.640804,39.146412
lelese,45.733333,22.7
sercaia,45.833333,25.133333
borovnica,45.9158333,14.3630556
varghis,46.133333,25.533333
decs,46.284285,18.760005
nemesnadudvar,46.340505,19.051153
siculeni,46.416667,25.75
chetani,46.466667,24.033333
albesti,46.5,27.866667
prilly,46.522445,6.622151
tumwater,47.0075,-122.9080556
olympia,47.0380556,-122.8994444
crucea,47.35,25.616667
samsud,47.35,22.95
bad reichenhall,47.733333,12.883333
kal,47.733333,20.266667
trusesti,47.766667,27.016667
emod,47.933333,20.816667
avdiyivka,48.139892,37.742549
selestat,48.259323,7.454285
karcsa,48.311298,21.805369
pechenizhyn,48.515514,24.894231
oktyabrskiy,49.057975,140.248999
sambir,49.518301,23.197525
berbourg,49.7272222,6.3938889
tepla,49.979968,12.864322
brzeszcze,49.984333,19.142123
fastiv,50.0767,29.917704
alzenau,50.083333,9.066667
steinbach,50.166667,8.566667
mikolow,50.17103,18.904098
polyanka,50.258358,27.688087
ust-koksa,50.2696,85.6108
kholtoson,50.2981,103.3097
bad nauheim,50.366667,8.75
hohr-grenzhausen,50.433333,7.666667
ostrogozhsk,50.866398,39.075615
olawa,50.942078,17.299643
rotselaar,50.95,4.716667
haacht,50.983333,4.633333
zhirnovsk,50.984482,44.773474
erkelenz,51.083333,6.316667
seryshevo,51.093333,128.378611
hemiksem,51.15,4.35
ostend,51.216667,2.916667
farnborough,51.266667,-0.733333
bath,51.379444,-2.365556
piotrkow trybunalski,51.410445,19.694952
mulheim,51.433333,6.883333
veghel,51.618548,5.550439
zamhlay,51.815047,31.159815
augustdorf,51.9,8.733333
letchworth,51.966667,-0.216667
